,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,0,Coca Cola,1.39,100 ml,Pet-Flasche 1.5 L,edeka,0.09300000000000001,1,0.99,100 ml,Pet-Flasche 1.25 L,aldi-sued,0.079
1,1,Nutella,1.77,100 Gramm,"Glas 500 Gramm, + 50 g Gratis",edeka,0.354,4,3.89,100 Gramm,"Glas 880 Gramm, + 80 g Gratis",aldi-sued,0.442
2,12,Iglo Schlemmer-Filet Classic a la Bordelaise,1.77,100 Gramm,Packung 380 Gramm,edeka,0.466,7,2.99,100 Gramm,Packung 380 Gramm,aldi-sued,0.787
3,16,Ferrero Milchschnitte,1.29,100 Gramm,"5 x 28 g, Packung 140 Gramm",edeka,0.92,646,1.79,100 Gramm,"10 x 28 g, Packung 280 Gramm",aldi-sued,0.64
4,43,Milka Alpenmilch Schokolade,0.79,100 Gramm,Tafel 100  Gramm,edeka,0.79,255,0.95,100 Gramm,Tafel 100  Gramm,aldi-sued,0.95
5,44,Havana Club Anejo 3 Anos 3 Jahre,13.99,100 ml,Flasche Glas 0.7 L,edeka,1.999,474,4.99,100 Gramm,Beutel 450 Gramm,aldi-sued,1.109
6,62,President Meersalzbutter mit Meersalzkörner,3.29,100 Gramm,Becher 250 Gramm,edeka,1.32,219,3.19,100 Gramm,Becher 250 Gramm,aldi-sued,1.28
7,63,Rocher Pralinen,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",edeka,1.75,257,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",aldi-sued,1.75
8,66,Coppenrath & Wiese Unsere Goldstücke Weizenbrötchen,1.59,100 Gramm,"Packung 420 Gramm, 6 Stück",edeka,0.379,42,1.39,100 Gramm,"Packung 450 Gramm, 9 Stück",aldi-sued,0.309
9,90,Dr. Oetker Rote Grütze herrlich fruchtig,1.68,100 Gramm,Becher 500 Gramm,edeka,0.336,27,1.99,100 Gramm,Becher 500 Gramm,aldi-sued,0.39799999999999996
