,Unnamed: 0_x,Name,Price_x,Unit_x,Packet Size_x,Supermarket_x,Comparable Price_x,Unnamed: 0_y,Price_y,Unit_y,Packet Size_y,Supermarket_y,Comparable Price_y
0,1,Coca Cola,0.99,100 ml,Pet-Flasche 1.25 L,aldi-sued,0.079,0,0.99,100 ml,Pet-Flasche 1.25 L,lidl,0.079
1,4,Nutella,3.89,100 Gramm,"Glas 880 Gramm, + 80 g Gratis",aldi-sued,0.442,3,3.99,100 Gramm,Vorteils Glas 1000 Gramm,lidl,0.39899999999999997
2,7,Iglo Schlemmer-Filet Classic a la Bordelaise,2.99,100 Gramm,Packung 380 Gramm,aldi-sued,0.787,38,1.77,100 Gramm,Packung 380 Gramm,lidl,0.466
3,35,"Ramazzotti Amaro Kräuterbitter, 30% Vol.",12.99,100 ml,Flasche Glas 0.7 L,aldi-sued,1.856,272,8.88,100 ml,Flasche Glas 0.7 L,lidl,1.2690000000000001
4,110,Brokkoli frisch,0.99,100 Gramm,Folie 500 Gramm,aldi-sued,0.198,1977,1.29,100 Gramm,Folie 500 Gramm,lidl,0.258
5,120,Bürger Eierspätzle Original schwäbisch,3.29,100 Gramm,Packung 1000 Gramm,aldi-sued,0.32899999999999996,1222,1.89,100 Gramm,Packung 1000 Gramm,lidl,0.18899999999999997
6,129,Raffaello Pralinen Kokos-Mandel,2.99,100 Gramm,Packung 260 Gramm,aldi-sued,1.15,274,1.99,100 Gramm,Packung 180 Gramm,lidl,1.11
7,151,Bertolli Extra Vergine Originale das Fruchtige,5.69,100 ml,Flasche Glas 500 ML,aldi-sued,1.138,152,4.69,100 ml,Flasche Glas 500 ML,lidl,0.938
8,158,Coca Cola Zero,0.89,100 ml,Pet-Flasche 1.25 L,aldi-sued,0.071,97,0.89,100 ml,Pet-Flasche 1.25 L,lidl,0.071
9,218,Rotkäppchen Sekt Halbtrocken,3.99,100 ml,Flasche Glas 0.75 L,aldi-sued,0.532,75,3.99,100 ml,Flasche Glas 0.75 L,lidl,0.532
10,219,President Meersalzbutter mit Meersalzkörner,3.19,100 Gramm,Becher 250 Gramm,aldi-sued,1.28,1915,1.79,100 Gramm,Becher 250 Gramm,lidl,0.72
11,255,Milka Alpenmilch Schokolade,0.95,100 Gramm,Tafel 100  Gramm,aldi-sued,0.95,8,1.09,100 Gramm,Tafel 100  Gramm,lidl,1.09
12,257,Rocher Pralinen,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",aldi-sued,1.75,275,3.49,100 Gramm,"Packung 200 Gramm, 16 Stück",lidl,1.75
13,268,Wirsing Deutschland,0.99,100 Gramm, 1 KG,aldi-sued,0.099,2707,0.99,100 Gramm, 1 KG,lidl,0.099
